demand,supply,time,traffic,weather,surge
87,16,evening,low,rainy,1.83
82,183,morning,high,snow,1.51
77,65,afternoon,high,clear,1.51
244,66,night,high,storm,2.56
33,50,night,medium,storm,1.63
202,36,morning,medium,clear,1.57
206,164,evening,low,snow,1.81
223,30,evening,high,storm,2.42
65,21,afternoon,medium,clear,1.67
81,107,evening,medium,storm,1.53
211,63,evening,high,clear,2.02
117,146,afternoon,low,snow,1.28
142,185,evening,low,rainy,1.36
191,112,evening,low,rainy,1.68
191,64,night,medium,snow,2.23
101,73,evening,high,snow,2.18
234,102,afternoon,low,snow,1.82
54,38,afternoon,high,rainy,1.76
246,162,morning,medium,snow,1.72
269,145,evening,high,clear,1.74
88,184,evening,high,storm,1.72
252,50,night,low,storm,2.29
121,139,morning,high,storm,1.67
289,165,afternoon,low,storm,1.65
30,163,evening,medium,clear,1.12
215,88,afternoon,low,rainy,1.78
70,31,night,low,rainy,1.93
273,150,afternoon,medium,snow,1.79
132,192,evening,medium,storm,1.59
294,125,morning,low,rainy,1.61
40,160,afternoon,high,rainy,1.3
60,68,morning,low,storm,1.21
151,81,night,low,rainy,1.74
272,72,night,medium,rainy,2.02
250,100,night,medium,snow,2.37
57,182,morning,low,snow,1.35
85,73,afternoon,low,snow,1.53
123,81,night,low,clear,1.49
80,22,morning,low,rainy,1.63
278,133,afternoon,medium,clear,1.53
31,109,evening,medium,storm,1.58
279,49,afternoon,medium,rainy,1.89
61,90,morning,low,snow,1.3
110,24,morning,low,clear,1.52
150,113,morning,high,rainy,1.72
50,168,morning,medium,storm,1.49
134,181,evening,low,storm,1.48
183,127,evening,low,clear,1.39
81,28,afternoon,high,storm,2.13
208,27,afternoon,medium,storm,1.93
184,166,morning,high,storm,1.99
83,44,evening,low,clear,1.45
109,79,evening,high,rainy,1.94
134,185,evening,high,snow,1.75
56,33,night,medium,clear,1.5
96,173,evening,low,snow,1.51
248,153,morning,low,clear,1.29
106,149,morning,medium,rainy,1.19
51,88,evening,low,storm,1.44
157,180,morning,medium,snow,1.49
109,70,afternoon,low,snow,1.5
200,115,afternoon,medium,rainy,1.56
85,107,morning,medium,rainy,1.14
265,99,evening,low,rainy,1.8
128,112,evening,medium,clear,1.59
172,99,night,high,storm,2.29
89,76,afternoon,high,storm,1.81
252,98,evening,medium,clear,1.78
127,75,morning,high,snow,1.8
130,103,night,low,storm,1.92
93,194,evening,high,storm,1.83
197,113,evening,high,rainy,1.84
224,183,afternoon,high,storm,1.88
30,87,evening,low,snow,1.56
194,129,night,medium,rainy,1.8
116,178,morning,medium,storm,1.32
150,182,evening,low,rainy,1.23
53,72,night,high,clear,1.49
129,193,night,medium,snow,1.65
32,37,night,low,rainy,1.46
295,128,morning,high,rainy,2.08
92,126,afternoon,medium,storm,1.49
256,166,night,high,snow,2.28
273,125,evening,low,storm,2.15
296,134,afternoon,medium,snow,1.92
176,70,evening,medium,storm,2.28
71,45,afternoon,low,snow,1.64
139,26,night,medium,storm,2.31
242,25,afternoon,medium,snow,2.08
40,157,night,medium,clear,1.39
182,109,night,high,rainy,2.0
169,121,night,low,snow,1.87
237,195,afternoon,medium,rainy,1.6
43,110,morning,low,snow,1.23
266,56,morning,medium,snow,1.97
262,93,evening,medium,storm,2.25
245,74,morning,medium,clear,1.65
56,99,afternoon,high,clear,1.26
50,17,afternoon,low,clear,1.52
152,42,night,high,clear,2.11
141,129,evening,medium,rainy,1.72
88,51,evening,low,clear,1.49
222,111,afternoon,low,rainy,1.32
184,185,morning,high,clear,1.17
249,179,evening,low,storm,1.7
245,135,morning,medium,storm,1.73
265,191,afternoon,medium,rainy,1.55
168,167,night,medium,snow,1.77
167,92,afternoon,low,storm,1.68
154,128,night,medium,clear,1.6
196,56,night,low,storm,2.26
204,81,evening,high,clear,2.0
127,31,afternoon,high,snow,2.2
153,186,night,high,snow,1.89
38,33,evening,low,snow,1.84
186,179,evening,medium,storm,1.89
199,100,night,medium,storm,1.95
91,194,afternoon,medium,clear,1.05
124,59,afternoon,high,snow,2.16
298,162,evening,low,rainy,1.56
214,55,evening,low,rainy,1.85
57,151,evening,high,rainy,1.63
281,36,morning,high,storm,2.19
255,97,afternoon,low,storm,1.99
274,39,morning,medium,snow,1.91
57,48,afternoon,high,storm,1.82
157,40,night,high,rainy,2.36
224,125,night,medium,snow,1.96
60,166,morning,low,rainy,1.05
71,50,afternoon,low,clear,1.13
239,125,night,medium,clear,1.55
174,189,night,low,rainy,1.48
131,118,morning,high,rainy,1.73
166,46,morning,low,rainy,1.76
177,122,morning,medium,storm,1.74
169,138,night,medium,clear,1.62
251,198,evening,high,storm,2.01
147,182,morning,high,storm,1.62
119,130,night,medium,rainy,1.6
253,172,night,low,snow,1.87
200,92,morning,low,storm,1.88
283,83,night,high,clear,2.09
191,74,evening,low,snow,2.17
30,178,night,medium,clear,1.24
215,169,night,high,snow,2.25
134,78,afternoon,medium,snow,1.78
278,41,morning,high,rainy,2.04
189,151,morning,high,snow,1.82
88,128,morning,high,rainy,1.4
179,140,evening,medium,snow,2.0
154,126,afternoon,medium,rainy,1.58
290,44,morning,medium,snow,1.97
289,78,morning,medium,storm,2.07
280,48,night,high,snow,2.47
223,126,evening,low,rainy,1.61
149,115,morning,medium,snow,1.74
225,108,afternoon,medium,clear,1.53
199,35,night,low,snow,2.1
103,114,afternoon,low,snow,1.36
165,96,night,high,clear,1.87
224,91,night,high,clear,2.12
150,171,evening,low,clear,1.09
80,172,morning,medium,rainy,1.24
44,21,evening,low,storm,1.77
250,47,afternoon,high,snow,2.21
122,53,afternoon,low,snow,1.92
153,137,afternoon,low,snow,1.63
265,75,morning,medium,storm,2.04
110,28,night,medium,storm,2.33
247,186,evening,medium,storm,1.84
226,133,morning,low,snow,1.61
181,189,evening,low,snow,1.45
55,165,night,medium,rainy,1.52
210,66,afternoon,high,storm,2.24
100,170,morning,high,clear,1.16
255,18,evening,high,rainy,2.12
181,93,night,low,rainy,1.63
217,145,evening,low,storm,1.88
276,85,evening,low,snow,2.19
102,67,night,high,storm,2.12
232,13,evening,high,clear,1.99
164,159,night,high,storm,2.12
149,130,morning,high,storm,1.98
143,175,morning,high,snow,1.68
184,176,night,low,rainy,1.61
49,87,night,low,clear,1.15
99,109,night,medium,snow,1.72
109,116,morning,medium,snow,1.49
173,18,evening,low,snow,2.09
150,102,morning,high,storm,1.91
213,25,night,medium,rainy,2.19
262,33,afternoon,high,clear,1.71
200,72,afternoon,high,rainy,1.91
136,160,afternoon,low,storm,1.35
31,80,afternoon,low,storm,1.36
86,179,morning,low,clear,1.0
151,160,evening,low,rainy,1.25
94,199,night,high,clear,1.55
273,124,evening,high,clear,1.99
143,167,morning,high,storm,1.59
45,25,night,medium,snow,2.04
281,192,night,low,clear,1.46
105,26,afternoon,medium,storm,1.98
180,126,night,low,clear,1.57
140,120,night,low,snow,1.87
262,112,night,high,clear,2.06
190,180,evening,medium,rainy,1.74
272,27,morning,low,clear,1.49
220,43,morning,high,storm,2.23
240,100,night,high,clear,2.19
189,100,morning,high,rainy,1.63
276,67,morning,medium,storm,1.92
172,156,afternoon,medium,clear,1.32
166,17,afternoon,medium,storm,2.08
209,11,afternoon,low,snow,1.81
45,33,afternoon,medium,snow,1.69
110,104,evening,high,storm,2.16
73,23,afternoon,low,clear,1.53
169,123,night,medium,snow,1.98
140,141,morning,medium,snow,1.32
279,144,evening,low,rainy,1.58
58,11,afternoon,medium,rainy,1.85
160,84,evening,low,clear,1.4
250,54,afternoon,medium,rainy,1.8
211,28,night,high,clear,2.09
265,29,evening,high,snow,2.41
243,84,morning,medium,clear,1.69
117,168,night,high,storm,1.82
84,72,night,high,snow,2.2
232,89,evening,low,storm,2.16
69,140,morning,high,rainy,1.48
208,99,afternoon,low,clear,1.43
131,54,afternoon,high,clear,1.74
282,128,night,high,storm,2.57
191,48,night,low,snow,2.19
185,80,morning,medium,clear,1.56
261,19,morning,medium,storm,1.92
76,167,night,medium,clear,1.29
126,92,night,high,rainy,2.09
260,36,evening,high,clear,2.0
118,20,afternoon,high,snow,2.3
298,143,afternoon,medium,storm,2.08
228,114,evening,high,clear,1.76
201,26,evening,low,snow,2.06
106,95,morning,high,rainy,1.78
188,177,night,low,clear,1.46
222,174,evening,low,clear,1.43
246,140,evening,low,storm,1.76
139,97,night,low,rainy,1.8
109,29,evening,low,clear,1.73
97,162,night,low,rainy,1.34
114,194,night,low,snow,1.57
151,123,evening,high,snow,2.05
152,89,night,low,storm,1.94
255,128,evening,medium,snow,1.99
132,164,afternoon,medium,clear,1.03
220,151,morning,high,clear,1.46
112,79,night,high,rainy,2.07
76,66,night,medium,clear,1.58
232,138,evening,low,snow,1.9
221,67,morning,medium,clear,1.67
201,47,afternoon,low,storm,1.98
271,188,afternoon,high,snow,1.89
32,30,morning,medium,rainy,1.57
300,118,morning,medium,rainy,1.76
54,71,night,high,snow,1.81
285,162,morning,high,rainy,1.74
179,119,morning,high,storm,1.85
243,57,morning,high,storm,2.11
299,149,morning,medium,snow,1.61
228,105,evening,high,clear,1.97
64,98,afternoon,high,clear,1.25
200,44,morning,medium,storm,2.06
119,185,night,high,snow,1.93
99,26,night,low,storm,2.14
132,20,evening,medium,snow,2.3
272,74,morning,high,rainy,1.96
54,177,evening,medium,clear,1.26
253,112,night,medium,storm,2.39
284,187,night,medium,storm,2.06
247,30,night,high,rainy,2.31
194,36,morning,medium,storm,1.96
248,52,night,medium,snow,2.21
210,167,night,medium,clear,1.52
237,103,afternoon,low,rainy,1.77
254,18,afternoon,low,rainy,1.76
217,102,night,high,clear,2.12
260,104,evening,medium,clear,1.81
217,111,evening,high,storm,2.05
88,16,afternoon,medium,snow,2.08
90,77,evening,high,snow,2.04
176,187,night,low,clear,1.13
67,125,afternoon,high,snow,1.7
193,180,evening,high,clear,1.71
178,86,afternoon,high,rainy,2.06
290,67,morning,low,rainy,1.65
282,16,evening,high,storm,2.39
96,166,morning,low,storm,1.28
275,144,night,medium,clear,1.53
192,174,morning,medium,snow,1.74
206,42,afternoon,low,snow,1.9
58,41,afternoon,medium,rainy,1.43
145,98,evening,low,storm,1.74
170,42,evening,high,clear,2.0
116,161,afternoon,low,storm,1.37
51,17,morning,low,storm,1.93
243,168,morning,medium,storm,1.73
184,133,afternoon,high,snow,1.86
67,186,morning,low,snow,1.28
267,62,evening,high,rainy,2.16
193,197,evening,medium,rainy,1.45
293,153,morning,medium,rainy,1.49
166,125,afternoon,low,clear,1.11
226,167,night,low,rainy,1.76
190,58,afternoon,medium,snow,2.0
187,137,morning,low,snow,1.6
153,65,evening,low,clear,1.66
270,83,morning,low,snow,1.83
165,196,evening,medium,storm,1.51
56,155,afternoon,medium,storm,1.31
288,125,evening,high,clear,1.93
79,110,evening,medium,storm,1.65
131,164,night,high,clear,1.41
100,192,evening,medium,snow,1.53
293,45,evening,high,storm,2.33
183,161,evening,high,snow,2.14
183,131,morning,medium,storm,1.73
243,159,evening,high,clear,1.72
165,177,afternoon,high,clear,1.22
117,144,night,low,rainy,1.31
86,58,morning,medium,storm,1.68
241,186,afternoon,medium,snow,1.77
61,190,afternoon,high,rainy,1.41
274,144,night,medium,rainy,1.79
205,149,evening,high,storm,2.12
128,73,evening,high,storm,2.04
182,83,afternoon,high,snow,2.16
208,153,evening,medium,clear,1.51
224,111,evening,low,storm,1.71
70,98,night,high,storm,1.95
139,61,evening,high,storm,2.33
152,72,morning,high,rainy,2.03
56,35,night,medium,snow,1.92
100,11,afternoon,medium,snow,2.0
132,83,evening,medium,clear,1.58
75,176,afternoon,high,clear,1.28
119,116,afternoon,low,snow,1.66
125,84,morning,low,storm,1.61
84,95,evening,medium,snow,1.68
98,139,night,medium,rainy,1.56
199,51,night,high,storm,2.54
37,198,evening,medium,rainy,1.34
237,119,evening,low,snow,1.83
124,45,night,medium,rainy,2.0
226,70,night,medium,storm,2.26
35,76,evening,high,rainy,1.51
90,129,evening,low,snow,1.54
189,186,morning,high,storm,1.87
143,66,afternoon,medium,rainy,1.79
221,116,night,high,rainy,2.05
71,144,night,high,storm,1.82
87,25,afternoon,high,rainy,1.93
296,123,morning,high,rainy,2.04
280,33,night,low,snow,2.13
242,126,morning,high,snow,1.93
187,195,morning,medium,storm,1.46
141,158,morning,low,snow,1.27
62,148,morning,low,snow,1.21
239,56,afternoon,high,snow,2.17
225,124,night,medium,clear,1.64
98,177,evening,low,rainy,1.4
231,145,afternoon,high,rainy,1.77
41,86,night,high,snow,1.91
147,73,night,medium,rainy,1.76
87,18,night,high,clear,2.05
64,35,morning,medium,clear,1.25
52,112,night,low,rainy,1.45
58,45,evening,low,storm,1.82
194,70,evening,low,rainy,1.88
170,25,afternoon,high,snow,2.21
54,98,night,high,storm,1.94
239,48,evening,medium,rainy,2.05
272,71,afternoon,medium,rainy,1.86
59,153,night,medium,rainy,1.48
160,62,evening,high,clear,2.08
219,33,afternoon,low,storm,1.88
50,28,afternoon,high,rainy,1.7
200,87,morning,low,rainy,1.79
90,132,afternoon,high,rainy,1.38
152,151,evening,medium,snow,1.59
213,88,evening,medium,snow,2.19
270,91,afternoon,medium,storm,1.98
143,199,afternoon,low,storm,1.31
243,85,afternoon,low,storm,1.85
155,137,evening,medium,snow,1.99
281,127,afternoon,high,storm,2.13
280,57,morning,high,clear,1.87
68,181,morning,low,snow,1.23
148,27,afternoon,low,rainy,1.7
221,25,night,high,snow,2.4
240,13,morning,high,storm,2.21
176,14,night,low,clear,1.88
298,48,afternoon,low,storm,1.96
166,111,morning,medium,snow,1.69
154,188,afternoon,medium,clear,1.03
46,33,night,medium,snow,2.01
58,173,morning,high,rainy,1.32
252,175,evening,high,clear,1.78
51,68,afternoon,high,snow,1.55
68,185,evening,high,clear,1.34
191,14,afternoon,high,rainy,2.05
233,29,evening,low,rainy,1.91
229,183,evening,medium,rainy,1.76
70,138,evening,low,clear,1.09
68,97,night,medium,clear,1.33
260,135,afternoon,medium,snow,1.69
224,31,evening,low,clear,1.62
108,107,afternoon,high,snow,1.56
84,33,morning,medium,snow,1.97
168,36,afternoon,low,rainy,1.69
292,114,morning,low,clear,1.47
77,162,evening,medium,clear,1.16
228,31,afternoon,high,rainy,2.04
116,45,evening,medium,storm,2.2
62,52,night,medium,snow,1.96
69,102,evening,low,snow,1.52
130,127,morning,low,storm,1.5
232,95,night,medium,snow,2.27
99,86,evening,high,rainy,1.9
120,111,evening,medium,snow,1.99
154,93,night,medium,snow,1.97
132,161,afternoon,high,clear,1.29
266,191,afternoon,medium,storm,1.77
65,114,night,low,storm,1.55
108,193,night,medium,clear,1.29
275,159,night,high,snow,2.21
214,189,morning,low,rainy,1.43
211,52,morning,high,snow,2.29
199,120,morning,low,clear,1.15
291,142,afternoon,medium,storm,1.98
286,48,evening,low,snow,2.02
242,31,morning,high,rainy,1.97
205,126,afternoon,high,snow,1.87
79,122,night,medium,clear,1.26
88,15,evening,high,clear,2.04
114,199,afternoon,high,rainy,1.41
199,153,night,medium,rainy,1.86
124,57,night,medium,clear,1.95
131,125,night,medium,clear,1.64
135,81,morning,high,clear,1.56
125,103,evening,low,snow,1.72
280,145,evening,high,snow,2.12
88,99,evening,medium,rainy,1.46
182,167,morning,high,rainy,1.66
152,88,morning,low,storm,1.64
291,109,night,high,rainy,2.31
246,57,night,high,rainy,2.31
280,83,afternoon,low,storm,1.97
57,101,morning,medium,rainy,1.14
226,153,night,medium,snow,1.98
257,135,afternoon,low,clear,1.26
142,84,morning,medium,rainy,1.51
116,127,night,high,clear,1.51
167,149,evening,high,clear,1.75
255,149,afternoon,medium,clear,1.35
156,86,morning,medium,storm,1.67
74,122,morning,low,rainy,1.16
209,191,night,low,rainy,1.76
135,25,evening,high,storm,2.42
116,92,evening,medium,storm,1.99
293,183,morning,low,snow,1.68
171,177,afternoon,high,rainy,1.35
194,73,night,medium,rainy,2.12
167,170,night,medium,snow,1.62
77,113,evening,high,storm,1.79
279,93,morning,high,clear,1.85
264,172,evening,low,snow,1.74
249,64,night,medium,storm,2.37
202,150,afternoon,high,snow,1.96
54,21,morning,high,snow,2.1
110,122,night,low,snow,1.54
97,176,evening,low,storm,1.42
214,74,morning,medium,rainy,1.71
186,195,afternoon,medium,clear,1.04
30,64,night,low,rainy,1.42
295,184,night,low,clear,1.54
91,118,afternoon,medium,clear,1.0
75,197,morning,low,storm,1.27
183,45,night,low,rainy,1.91
34,166,afternoon,medium,storm,1.44
107,115,night,low,clear,1.28
101,41,night,medium,snow,2.26
101,73,evening,high,clear,1.65
175,186,morning,high,storm,1.54
290,58,night,medium,clear,1.96
152,136,night,low,rainy,1.7
66,145,morning,medium,storm,1.33
245,103,afternoon,medium,clear,1.5
64,13,evening,low,clear,1.78
233,139,evening,high,snow,2.08
235,31,afternoon,medium,clear,1.56
291,62,afternoon,high,storm,2.18
63,89,night,high,rainy,1.61
74,121,morning,medium,clear,1.0
119,40,morning,high,rainy,2.04
113,137,evening,high,storm,1.73
94,78,morning,low,storm,1.66
169,144,morning,medium,clear,1.3
291,102,morning,medium,rainy,1.77
160,36,morning,low,clear,1.41
36,72,morning,medium,storm,1.38
106,55,morning,high,snow,1.84
157,116,evening,medium,clear,1.51
91,138,morning,low,rainy,1.16
53,112,morning,medium,storm,1.45
189,93,morning,high,snow,2.1
132,84,evening,high,rainy,1.89
282,60,afternoon,low,clear,1.59
42,69,evening,high,clear,1.49
30,178,night,high,storm,1.82
151,117,night,low,rainy,1.74
77,21,afternoon,high,snow,2.24
220,127,morning,high,clear,1.5
231,29,morning,medium,rainy,1.75
163,90,night,high,storm,2.16
169,69,morning,low,rainy,1.76
85,49,morning,low,snow,1.59
238,40,evening,low,snow,2.06
165,40,morning,low,storm,1.97
50,65,evening,low,clear,1.14
212,111,morning,high,storm,1.85
119,17,night,medium,rainy,2.02
82,45,morning,low,clear,1.27
143,43,afternoon,medium,storm,2.04
73,159,evening,low,clear,1.2
131,175,night,low,clear,1.28
199,41,morning,medium,clear,1.53
251,195,night,medium,clear,1.58
248,54,evening,low,rainy,1.85
258,48,morning,high,rainy,2.03
285,115,night,low,clear,1.76
100,117,afternoon,high,rainy,1.43
39,107,evening,medium,snow,1.57
287,92,night,medium,rainy,2.01
142,17,evening,low,snow,2.11
149,50,morning,low,rainy,1.65
58,66,night,medium,rainy,1.44
192,198,evening,high,clear,1.44
210,155,afternoon,high,rainy,1.77
282,148,evening,low,snow,1.71
58,69,afternoon,low,snow,1.2
133,43,evening,high,rainy,2.28
195,25,morning,low,rainy,1.75
299,103,morning,medium,snow,2.02
202,87,evening,low,rainy,1.95
253,173,night,high,storm,2.13
212,67,afternoon,medium,storm,2.05
180,42,afternoon,high,clear,1.89
230,155,morning,low,storm,1.68
143,173,morning,medium,rainy,1.17
69,70,evening,medium,rainy,1.43
75,191,evening,medium,clear,1.15
157,187,morning,medium,storm,1.46
30,22,night,medium,snow,2.09
241,136,night,medium,snow,1.92
275,157,afternoon,low,snow,1.51
47,85,morning,medium,storm,1.49
67,97,afternoon,medium,rainy,1.25
77,96,night,high,clear,1.49
114,165,night,low,clear,1.12
135,58,night,high,storm,2.53
182,70,morning,low,snow,1.91
281,49,morning,medium,clear,1.59
180,179,night,low,clear,1.11
117,173,evening,low,snow,1.57
187,111,night,medium,storm,1.92
228,57,evening,medium,storm,2.14
52,77,night,medium,storm,1.65
167,154,morning,low,clear,1.12
206,148,night,high,rainy,2.01
228,143,night,high,snow,2.21
150,131,evening,low,snow,1.88
47,138,afternoon,low,snow,1.23
115,64,afternoon,low,clear,1.18
252,61,afternoon,high,storm,2.16
64,32,night,high,snow,2.21
171,143,night,low,snow,1.82
106,47,morning,low,clear,1.56
206,115,evening,medium,snow,1.91
272,19,afternoon,medium,snow,1.93
235,19,night,medium,rainy,2.01
273,78,evening,low,storm,2.16
185,89,evening,medium,clear,1.89
146,44,evening,high,snow,2.45
194,78,night,high,clear,2.04
138,114,night,high,storm,2.26
293,50,morning,medium,snow,1.93
298,155,morning,low,rainy,1.48
132,24,afternoon,low,snow,1.81
214,190,afternoon,medium,storm,1.76
288,111,morning,high,clear,1.75
280,162,night,low,snow,1.92
209,98,afternoon,medium,clear,1.56
227,22,afternoon,high,rainy,2.07
145,183,afternoon,medium,snow,1.4
34,131,afternoon,high,rainy,1.42
34,67,evening,high,storm,1.84
170,118,night,medium,snow,1.95
268,87,night,high,clear,2.0
221,153,evening,medium,clear,1.5
202,80,evening,medium,storm,2.23
182,58,afternoon,high,rainy,2.08
236,179,evening,high,rainy,1.94
284,85,evening,medium,snow,2.18
48,159,afternoon,medium,rainy,1.24
273,181,evening,high,storm,2.17
122,85,morning,medium,rainy,1.55
123,184,evening,high,clear,1.34
144,200,evening,medium,storm,1.57
180,128,morning,medium,clear,1.37
66,130,afternoon,high,clear,1.27
225,145,evening,medium,clear,1.57
107,45,afternoon,medium,snow,2.1
264,46,evening,high,rainy,2.26
279,95,afternoon,medium,clear,1.5
170,63,afternoon,high,rainy,2.0
75,43,night,high,snow,2.18
274,108,morning,low,rainy,1.75
37,92,afternoon,low,clear,1.0
157,67,evening,medium,rainy,1.92
287,160,evening,low,clear,1.46
182,84,night,high,storm,2.49
98,97,night,medium,rainy,1.43
236,14,afternoon,low,rainy,1.64
41,160,afternoon,low,storm,1.34
49,106,evening,high,clear,1.42
54,179,morning,high,clear,1.11
89,116,night,medium,clear,1.31
272,189,afternoon,low,clear,1.16
81,179,evening,high,rainy,1.58
83,140,morning,medium,clear,1.06
284,60,afternoon,medium,rainy,1.77
239,85,afternoon,low,snow,1.98
276,94,afternoon,low,clear,1.53
86,156,night,low,clear,1.26
68,195,morning,medium,rainy,1.19
181,77,night,low,clear,1.86
50,84,evening,high,storm,1.79
89,34,morning,low,rainy,1.73
117,94,evening,medium,storm,1.98
77,105,evening,low,clear,1.08
263,79,night,high,snow,2.56
115,38,afternoon,high,clear,1.9
111,36,night,high,snow,2.56
254,56,night,medium,clear,1.97
96,133,night,low,snow,1.59
62,76,evening,low,rainy,1.4
203,142,morning,medium,rainy,1.5
227,48,morning,low,rainy,1.7
270,136,afternoon,low,snow,1.56
199,81,morning,high,rainy,2.01
223,113,afternoon,low,snow,1.59
259,32,night,medium,storm,2.22
284,200,morning,low,snow,1.58
30,33,evening,high,rainy,1.63
